timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1777734701854,180,用户登录,200,,常规接口测试-50并发 1-30,text,true,,319,218,27,32,http://localhost:8080/api/auth/login,155,0,0
1777734701795,240,高级筛选搜索,200,,常规接口测试-50并发 1-24,text,true,,5782,232,27,32,http://localhost:8080/api/post/list/filter?category=运动健身&pageNum=1&pageSize=10,216,0,1
1777734701856,185,用户注册,200,,常规接口测试-50并发 1-33,text,true,,724,253,26,31,http://localhost:8080/api/auth/register,166,0,0
1777734701862,184,用户登录,200,,常规接口测试-50并发 1-44,text,true,,319,218,26,31,http://localhost:8080/api/auth/login,165,0,0
1777734701871,188,用户注册,200,,常规接口测试-50并发 1-47,text,true,,724,253,26,31,http://localhost:8080/api/auth/register,169,0,0
1777734701876,184,用户登录,200,,常规接口测试-50并发 1-46,text,true,,319,218,26,31,http://localhost:8080/api/auth/login,166,0,0
1777734701875,190,用户注册,200,,常规接口测试-50并发 1-48,text,true,,724,253,26,31,http://localhost:8080/api/auth/register,173,0,0
1777734701881,186,用户登录,200,,常规接口测试-50并发 1-42,text,true,,319,218,26,31,http://localhost:8080/api/auth/login,167,0,0
1777734701934,196,用户注册,200,,常规接口测试-50并发 1-34,text,true,,724,253,26,31,http://localhost:8080/api/auth/register,173,0,0
1777734701957,177,用户登录,200,,常规接口测试-50并发 1-43,text,true,,319,218,26,31,http://localhost:8080/api/auth/login,154,0,0
1777734701958,180,用户登录,200,,常规接口测试-50并发 1-31,text,true,,319,218,26,31,http://localhost:8080/api/auth/login,158,0,0
1777734701861,285,高级筛选搜索,200,,常规接口测试-50并发 1-35,text,true,,5782,232,26,31,http://localhost:8080/api/post/list/filter?category=运动健身&pageNum=1&pageSize=10,261,0,1
1777734701979,183,用户登录,200,,常规接口测试-50并发 1-32,text,true,,319,218,26,31,http://localhost:8080/api/auth/login,157,0,0
1777734702024,172,用户注册,200,,常规接口测试-50并发 1-49,text,true,,724,253,26,31,http://localhost:8080/api/auth/register,148,0,0
1777734702042,174,用户登录,200,,常规接口测试-50并发 1-33,text,true,,319,218,26,31,http://localhost:8080/api/auth/login,150,0,0
1777734702059,165,用户登录,200,,常规接口测试-50并发 1-47,text,true,,319,218,26,31,http://localhost:8080/api/auth/login,148,0,0
1777734701582,646,获取帖子列表,200,,常规接口测试-50并发 1-26,text,true,,5517,179,26,31,http://localhost:8080/api/post/list?pageNum=1&pageSize=10,631,0,0
1777734702066,167,用户登录,200,,常规接口测试-50并发 1-48,text,true,,319,218,26,31,http://localhost:8080/api/auth/login,155,0,0
1777734701585,653,获取帖子列表,200,,常规接口测试-50并发 1-36,text,true,,5517,179,26,31,http://localhost:8080/api/post/list?pageNum=1&pageSize=10,638,0,0
1777734701968,291,高级筛选搜索,200,,常规接口测试-50并发 1-50,text,true,,5782,232,26,31,http://localhost:8080/api/post/list/filter?category=运动健身&pageNum=1&pageSize=10,267,0,1
1777734701584,682,获取帖子列表,200,,常规接口测试-50并发 1-25,text,true,,5517,179,26,31,http://localhost:8080/api/post/list?pageNum=1&pageSize=10,661,0,0
1777734702130,186,用户登录,200,,常规接口测试-50并发 1-34,text,true,,319,218,26,31,http://localhost:8080/api/auth/login,169,0,0
1777734702146,187,用户注册,200,,常规接口测试-50并发 1-35,text,true,,724,253,26,31,http://localhost:8080/api/auth/register,171,0,0
1777734702196,174,用户登录,200,,常规接口测试-50并发 1-49,text,true,,319,218,26,31,http://localhost:8080/api/auth/login,152,0,0
1777734702229,215,关键词搜索,400,,常规接口测试-50并发 1-26,text,false,,332,183,26,31,http://localhost:8080/api/search/keyword?q=篮球,193,0,0
1777734702259,188,用户注册,200,,常规接口测试-50并发 1-50,text,true,,724,253,26,31,http://localhost:8080/api/auth/register,172,0,0
1777734702238,209,关键词搜索,400,,常规接口测试-50并发 1-36,text,false,,332,183,26,31,http://localhost:8080/api/search/keyword?q=篮球,190,0,0
1777734702267,195,关键词搜索,400,,常规接口测试-50并发 1-25,text,false,,332,183,26,31,http://localhost:8080/api/search/keyword?q=篮球,187,0,0
1777734702334,146,用户登录,200,,常规接口测试-50并发 1-35,text,true,,319,218,26,31,http://localhost:8080/api/auth/login,136,0,0
1777734701753,757,获取帖子列表,200,,常规接口测试-50并发 1-37,text,true,,5517,179,26,31,http://localhost:8080/api/post/list?pageNum=1&pageSize=10,748,0,0
1777734701767,757,获取帖子列表,200,,常规接口测试-50并发 1-27,text,true,,5517,179,26,31,http://localhost:8080/api/post/list?pageNum=1&pageSize=10,752,0,0
1777734702448,77,用户登录,200,,常规接口测试-50并发 1-50,text,true,,319,218,26,31,http://localhost:8080/api/auth/login,73,0,0
1777734702511,52,关键词搜索,400,,常规接口测试-50并发 1-37,text,false,,332,183,26,31,http://localhost:8080/api/search/keyword?q=篮球,48,0,0
1777734702524,49,关键词搜索,400,,常规接口测试-50并发 1-27,text,false,,332,183,26,31,http://localhost:8080/api/search/keyword?q=篮球,45,0,0
1777734701816,792,获取帖子列表,200,,常规接口测试-50并发 1-39,text,true,,5517,179,26,31,http://localhost:8080/api/post/list?pageNum=1&pageSize=10,792,0,0
1777734702608,23,关键词搜索,400,,常规接口测试-50并发 1-39,text,false,,332,183,26,31,http://localhost:8080/api/search/keyword?q=篮球,19,0,0
1777734701835,804,获取帖子列表,200,,常规接口测试-50并发 1-28,text,true,,5517,179,26,31,http://localhost:8080/api/post/list?pageNum=1&pageSize=10,799,0,0
1777734702640,18,关键词搜索,400,,常规接口测试-50并发 1-28,text,false,,332,183,26,31,http://localhost:8080/api/search/keyword?q=篮球,18,0,0
1777734702444,245,高级筛选搜索,200,,常规接口测试-50并发 1-26,text,true,,5782,232,26,31,http://localhost:8080/api/post/list/filter?category=运动健身&pageNum=1&pageSize=10,244,0,1
1777734702462,251,高级筛选搜索,200,,常规接口测试-50并发 1-25,text,true,,5782,232,25,30,http://localhost:8080/api/post/list/filter?category=运动健身&pageNum=1&pageSize=10,247,0,1
1777734702448,268,高级筛选搜索,200,,常规接口测试-50并发 1-36,text,true,,5782,232,24,29,http://localhost:8080/api/post/list/filter?category=运动健身&pageNum=1&pageSize=10,263,0,0
1777734701850,889,获取帖子列表,200,,常规接口测试-50并发 1-29,text,true,,5517,179,24,29,http://localhost:8080/api/post/list?pageNum=1&pageSize=10,885,0,0
1777734702716,47,用户注册,200,,常规接口测试-50并发 1-36,text,true,,724,253,24,29,http://localhost:8080/api/auth/register,43,0,0
1777734702739,25,关键词搜索,400,,常规接口测试-50并发 1-29,text,false,,332,183,24,29,http://localhost:8080/api/search/keyword?q=篮球,22,0,0
1777734702573,210,高级筛选搜索,200,,常规接口测试-50并发 1-27,text,true,,5782,232,24,29,http://localhost:8080/api/post/list/filter?category=运动健身&pageNum=1&pageSize=10,206,0,1
1777734702763,27,用户登录,200,,常规接口测试-50并发 1-36,text,true,,319,218,23,28,http://localhost:8080/api/auth/login,26,0,0
1777734702563,248,高级筛选搜索,200,,常规接口测试-50并发 1-37,text,true,,5782,232,23,28,http://localhost:8080/api/post/list/filter?category=运动健身&pageNum=1&pageSize=10,246,0,1
1777734702631,212,高级筛选搜索,200,,常规接口测试-50并发 1-39,text,true,,5782,232,23,28,http://localhost:8080/api/post/list/filter?category=运动健身&pageNum=1&pageSize=10,211,0,1
1777734702811,44,用户注册,200,,常规接口测试-50并发 1-37,text,true,,724,253,23,28,http://localhost:8080/api/auth/register,41,0,0
1777734702659,210,高级筛选搜索,200,,常规接口测试-50并发 1-28,text,true,,5782,232,23,28,http://localhost:8080/api/post/list/filter?category=运动健身&pageNum=1&pageSize=10,210,0,0
1777734701882,996,获取帖子列表,200,,常规接口测试-50并发 1-38,text,true,,5517,179,22,27,http://localhost:8080/api/post/list?pageNum=1&pageSize=10,993,0,0
1777734702855,26,用户登录,200,,常规接口测试-50并发 1-37,text,true,,319,218,22,27,http://localhost:8080/api/auth/login,22,0,0
1777734702843,51,用户注册,200,,常规接口测试-50并发 1-39,text,true,,724,253,22,27,http://localhost:8080/api/auth/register,48,0,0
1777734702879,34,关键词搜索,400,,常规接口测试-50并发 1-38,text,false,,332,183,22,27,http://localhost:8080/api/search/keyword?q=篮球,33,0,0
1777734702894,34,用户登录,200,,常规接口测试-50并发 1-39,text,true,,319,218,22,27,http://localhost:8080/api/auth/login,32,0,0
1777734701953,1006,获取帖子列表,200,,常规接口测试-50并发 1-40,text,true,,5517,179,22,27,http://localhost:8080/api/post/list?pageNum=1&pageSize=10,1003,0,0
1777734701963,1003,获取帖子列表,200,,常规接口测试-50并发 1-41,text,true,,5517,179,22,27,http://localhost:8080/api/post/list?pageNum=1&pageSize=10,1000,0,0
1777734702764,225,高级筛选搜索,200,,常规接口测试-50并发 1-29,text,true,,5782,232,22,27,http://localhost:8080/api/post/list/filter?category=运动健身&pageNum=1&pageSize=10,220,0,0
1777734702959,33,关键词搜索,400,,常规接口测试-50并发 1-40,text,false,,332,183,21,26,http://localhost:8080/api/search/keyword?q=篮球,28,0,0
1777734702966,36,关键词搜索,400,,常规接口测试-50并发 1-41,text,false,,332,183,21,26,http://localhost:8080/api/search/keyword?q=篮球,32,0,0
1777734702034,986,获取帖子列表,200,,常规接口测试-50并发 1-30,text,true,,5517,179,21,26,http://localhost:8080/api/post/list?pageNum=1&pageSize=10,984,0,0
1777734702032,1006,获取帖子列表,200,,常规接口测试-50并发 1-45,text,true,,5517,179,21,26,http://localhost:8080/api/post/list?pageNum=1&pageSize=10,1004,0,0
1777734703021,35,关键词搜索,400,,常规接口测试-50并发 1-30,text,false,,332,183,21,26,http://localhost:8080/api/search/keyword?q=篮球,30,0,0
1777734702060,1044,获取帖子列表,200,,常规接口测试-50并发 1-46,text,true,,5517,179,21,26,http://localhost:8080/api/post/list?pageNum=1&pageSize=10,1038,0,0
1777734702046,1060,获取帖子列表,200,,常规接口测试-50并发 1-44,text,true,,5517,179,21,26,http://localhost:8080/api/post/list?pageNum=1&pageSize=10,1052,0,0
1777734703038,87,关键词搜索,400,,常规接口测试-50并发 1-45,text,false,,332,183,21,26,http://localhost:8080/api/search/keyword?q=篮球,73,0,0
1777734702067,1080,获取帖子列表,200,,常规接口测试-50并发 1-42,text,true,,5517,179,21,26,http://localhost:8080/api/post/list?pageNum=1&pageSize=10,1067,0,0
1777734702913,244,高级筛选搜索,200,,常规接口测试-50并发 1-38,text,true,,5782,232,21,26,http://localhost:8080/api/post/list/filter?category=运动健身&pageNum=1&pageSize=10,237,0,0
1777734703107,84,关键词搜索,400,,常规接口测试-50并发 1-44,text,false,,332,183,21,26,http://localhost:8080/api/search/keyword?q=篮球,77,0,0
1777734703104,90,关键词搜索,400,,常规接口测试-50并发 1-46,text,false,,332,183,21,26,http://localhost:8080/api/search/keyword?q=篮球,82,0,0
1777734702993,203,高级筛选搜索,200,,常规接口测试-50并发 1-40,text,true,,5782,232,21,26,http://localhost:8080/api/post/list/filter?category=运动健身&pageNum=1&pageSize=10,195,0,0
1777734703002,202,高级筛选搜索,200,,常规接口测试-50并发 1-41,text,true,,5782,232,21,26,http://localhost:8080/api/post/list/filter?category=运动健身&pageNum=1&pageSize=10,194,0,2
1777734702134,1072,获取帖子列表,200,,常规接口测试-50并发 1-43,text,true,,5517,179,21,26,http://localhost:8080/api/post/list?pageNum=1&pageSize=10,1064,0,0
1777734703147,81,关键词搜索,400,,常规接口测试-50并发 1-42,text,false,,332,183,21,26,http://localhost:8080/api/search/keyword?q=篮球,66,0,0
1777734702138,1094,获取帖子列表,200,,常规接口测试-50并发 1-31,text,true,,5517,179,21,26,http://localhost:8080/api/post/list?pageNum=1&pageSize=10,1078,0,0
1777734702162,1073,获取帖子列表,200,,常规接口测试-50并发 1-32,text,true,,5517,179,21,26,http://localhost:8080/api/post/list?pageNum=1&pageSize=10,1058,0,0
1777734703157,92,用户注册,200,,常规接口测试-50并发 1-38,text,true,,724,253,21,26,http://localhost:8080/api/auth/register,85,0,0
1777734703056,208,高级筛选搜索,200,,常规接口测试-50并发 1-30,text,true,,5782,232,21,26,http://localhost:8080/api/post/list/filter?category=运动健身&pageNum=1&pageSize=10,200,0,1
1777734703196,89,用户注册,200,,常规接口测试-50并发 1-40,text,true,,721,252,20,25,http://localhost:8080/api/auth/register,73,0,0
1777734702224,1073,获取帖子列表,200,,常规接口测试-50并发 1-47,text,true,,5517,179,20,25,http://localhost:8080/api/post/list?pageNum=1&pageSize=10,1057,0,0
1777734702233,1065,获取帖子列表,200,,常规接口测试-50并发 1-48,text,true,,5517,179,20,25,http://localhost:8080/api/post/list?pageNum=1&pageSize=10,1049,0,0
1777734702217,1084,获取帖子列表,200,,常规接口测试-50并发 1-33,text,true,,5517,179,20,25,http://localhost:8080/api/post/list?pageNum=1&pageSize=10,1067,0,0
1777734703204,117,用户注册,200,,常规接口测试-50并发 1-41,text,true,,724,253,20,25,http://localhost:8080/api/auth/register,102,0,0
1777734703125,198,高级筛选搜索,200,,常规接口测试-50并发 1-45,text,true,,5782,232,20,25,http://localhost:8080/api/post/list/filter?category=运动健身&pageNum=1&pageSize=10,184,0,1
1777734703206,119,关键词搜索,400,,常规接口测试-50并发 1-43,text,false,,332,183,20,25,http://localhost:8080/api/search/keyword?q=篮球,104,0,0
1777734703249,93,用户登录,200,,常规接口测试-50并发 1-38,text,true,,319,218,20,25,http://localhost:8080/api/auth/login,88,0,0
1777734703232,112,关键词搜索,400,,常规接口测试-50并发 1-31,text,false,,332,183,20,25,http://localhost:8080/api/search/keyword?q=篮球,107,0,0
1777734703235,110,关键词搜索,400,,常规接口测试-50并发 1-32,text,false,,332,183,20,25,http://localhost:8080/api/search/keyword?q=篮球,105,0,0
1777734703191,159,高级筛选搜索,200,,常规接口测试-50并发 1-44,text,true,,5782,232,20,25,http://localhost:8080/api/post/list/filter?category=运动健身&pageNum=1&pageSize=10,152,0,1
1777734703194,158,高级筛选搜索,200,,常规接口测试-50并发 1-46,text,true,,5782,232,20,25,http://localhost:8080/api/post/list/filter?category=运动健身&pageNum=1&pageSize=10,152,0,0
1777734702317,1049,获取帖子列表,200,,常规接口测试-50并发 1-34,text,true,,5517,179,20,25,http://localhost:8080/api/post/list?pageNum=1&pageSize=10,1040,0,0
1777734703229,137,高级筛选搜索,200,,常规接口测试-50并发 1-42,text,true,,5782,232,20,25,http://localhost:8080/api/post/list/filter?category=运动健身&pageNum=1&pageSize=10,130,0,0
1777734702370,997,获取帖子列表,200,,常规接口测试-50并发 1-49,text,true,,5517,179,20,25,http://localhost:8080/api/post/list?pageNum=1&pageSize=10,990,0,0
1777734703285,83,用户登录,200,,常规接口测试-50并发 1-40,text,true,,319,218,20,25,http://localhost:8080/api/auth/login,77,0,0
1777734703298,84,关键词搜索,400,,常规接口测试-50并发 1-48,text,false,,332,183,20,25,http://localhost:8080/api/search/keyword?q=篮球,72,0,0
1777734703297,151,关键词搜索,400,,常规接口测试-50并发 1-47,text,false,,332,183,20,25,http://localhost:8080/api/search/keyword?q=篮球,82,0,0
1777734703321,130,用户登录,200,,常规接口测试-50并发 1-41,text,true,,319,218,20,25,http://localhost:8080/api/auth/login,60,0,0
1777734703301,152,关键词搜索,400,,常规接口测试-50并发 1-33,text,false,,332,183,20,25,http://localhost:8080/api/search/keyword?q=篮球,82,0,0
1777734702480,983,获取帖子列表,200,,常规接口测试-50并发 1-35,text,true,,5517,179,20,25,http://localhost:8080/api/post/list?pageNum=1&pageSize=10,970,0,0
1777734703323,141,用户注册,200,,常规接口测试-50并发 1-45,text,true,,723,252,20,25,http://localhost:8080/api/auth/register,132,0,0
1777734702525,940,获取帖子列表,200,,常规接口测试-50并发 1-50,text,true,,5517,179,20,25,http://localhost:8080/api/post/list?pageNum=1&pageSize=10,931,0,0
